iter	Logloss
0	0.6723284598
1	0.6531022052
2	0.6386124566
3	0.6224173058
4	0.6107578639
5	0.5982679458
6	0.5881065635
7	0.5791901217
8	0.5688711979
9	0.5600282637
10	0.5516280556
11	0.5449968501
12	0.540238628
13	0.5347907971
14	0.5298587575
15	0.5263160642
16	0.52391349
17	0.5192280237
18	0.5155338038
19	0.5117370626
20	0.5082554486
21	0.504315894
22	0.5017286663
23	0.4993364858
24	0.4966007393
25	0.4940097964
26	0.4922433148
27	0.4908212839
28	0.4889121216
29	0.4873896037
30	0.4856063596
31	0.4840903434
32	0.4826923727
33	0.4813758707
34	0.4804046154
35	0.4797800664
36	0.478418363
37	0.4775275591
38	0.4763390098
39	0.4749917691
40	0.4742614701
41	0.4732444826
42	0.4723111753
43	0.470564685
44	0.4695982948
45	0.4688899331
46	0.468499308
47	0.4671577727
48	0.4663582563
49	0.4652628962
50	0.4650074773
51	0.4640026969
52	0.4630027374
53	0.4625830985
54	0.4618629278
55	0.4610857466
56	0.4602409845
57	0.4600972423
58	0.4597969316
59	0.4595632288
60	0.459325457
61	0.4584259402
62	0.4582675141
63	0.4574907753
64	0.4568723741
65	0.4562733006
66	0.4560583065
67	0.4555910778
68	0.4549308365
69	0.4541201303
70	0.4536074349
71	0.4531055312
72	0.4524858916
73	0.4519935855
74	0.4518347613
75	0.4509524936
76	0.4506790737
77	0.4502896871
78	0.4501433796
79	0.4491156447
80	0.448286849
81	0.447952394
82	0.4478161263
83	0.4476903851
84	0.4475826889
85	0.447325722
86	0.4470897636
87	0.4469324875
88	0.4468218281
89	0.4465871523
90	0.4460805162
91	0.4455157197
92	0.4452352676
93	0.444973524
94	0.4447276142
95	0.4445563619
96	0.4444431815
97	0.4443677721
98	0.4441600756
99	0.443801693
100	0.4435034168
101	0.4430759495
102	0.4424563099
103	0.4418942998
104	0.4417950071
105	0.4417084522
106	0.4408538271
107	0.44068629
108	0.44034467
109	0.4401241031
110	0.4398947347
111	0.4397900461
112	0.4396121595
113	0.4394390497
114	0.4391292741
115	0.4390082652
116	0.438845151
117	0.4382075988
118	0.4380159572
119	0.437771905
120	0.4372281171
121	0.4371180326
122	0.4369961392
123	0.4364172782
124	0.4360106424
125	0.4357973732
126	0.4346110795
127	0.4344350505
128	0.4342766687
129	0.4339078924
130	0.4337593293
131	0.4336689265
132	0.4333641045
133	0.4332273061
134	0.4330415469
135	0.4330131081
136	0.4329177517
137	0.4327854646
138	0.4326849335
139	0.4325007665
140	0.4322437111
141	0.4320388453
142	0.431903241
143	0.431690989
144	0.4316253099
145	0.4315420721
146	0.4314463619
147	0.431015489
148	0.4308694911
149	0.4305487468
150	0.4304269861
151	0.4302856322
152	0.4296871337
153	0.4294924404
154	0.4290691306
155	0.4289218943
156	0.4287792135
157	0.4286628929
158	0.4284226443
159	0.4279634652
160	0.4277785906
161	0.4275255158
162	0.4273695223
163	0.4272175093
164	0.4270032671
165	0.4267535978
166	0.4266199839
167	0.4264939772
168	0.4262917209
169	0.4261459441
170	0.4256062252
171	0.4254299751
172	0.4252183423
173	0.4250217029
174	0.4248270538
175	0.4246788002
176	0.4244648233
177	0.4242251939
178	0.4239666348
179	0.4237232903
180	0.4235042271
181	0.4232867561
182	0.4230699486
183	0.4229155473
184	0.4226252764
185	0.4224111669
186	0.4221642398
187	0.4219302717
188	0.421710722
189	0.4214597701
190	0.4212249174
191	0.4210117366
192	0.420774761
193	0.4205798907
194	0.4203396864
195	0.4200939977
196	0.4198449034
197	0.4196001436
198	0.4193675465
199	0.4191480853
